sample super_pop pop admixture value
HG02345 AMR PEL AFR 0.084885
HG02345 AMR PEL EUR 0.339662
HG02345 AMR PEL SAS 0.03761
HG02348 AMR PEL EAS 1e-05
HG02348 AMR PEL AMR 0.867249
HG02348 AMR PEL AFR 1e-05
HG02348 AMR PEL EUR 0.101469
HG02348 AMR PEL SAS 0.031262
HG02419 AFR ACB EAS 1e-05
HG02419 AFR ACB AMR 0.003526
HG02419 AFR ACB AFR 0.956896
HG02419 AFR ACB EUR 1e-05
HG02419 AFR ACB SAS 0.039558
HG02420 AFR ACB EAS 0.010492
HG02420 AFR ACB AMR 0.00662
HG02420 AFR ACB AFR 0.592364
HG02420 AFR ACB EUR 0.386979
HG02420 AFR ACB SAS 0.003546
HG02425 AMR PEL EAS 1e-05
HG02425 AMR PEL AMR 0.580913
HG02425 AMR PEL AFR 0.060446
HG02425 AMR PEL EUR 0.262696
HG02425 AMR PEL SAS 0.095935
HG02427 AFR ACB EAS 0.000808
HG02427 AFR ACB AMR 1e-05
HG02427 AFR ACB AFR 0.936013
HG02427 AFR ACB EUR 0.031419
HG02427 AFR ACB SAS 0.03175
HG02429 AFR ACB EAS 1e-05
HG02429 AFR ACB AMR 0.007262
HG02429 AFR ACB AFR 0.943984
HG02429 AFR ACB EUR 0.028536
HG02429 AFR ACB SAS 0.020209
HG02433 AFR ACB EAS 0.027287
HG02433 AFR ACB AMR 0.012054
HG02433 AFR ACB AFR 0.87427
HG02433 AFR ACB EUR 0.086379
HG02433 AFR ACB SAS 1e-05
HG02439 AFR ACB EAS 0.008307
HG02439 AFR ACB AMR 0.012115
HG02439 AFR ACB AFR 0.965622
HG02439 AFR ACB EUR 1e-05
HG02439 AFR ACB SAS 0.013945
HG02442 AFR ACB EAS 1e-05
HG02442 AFR ACB AMR 1e-05
HG02442 AFR ACB AFR 0.99996
HG02442 AFR ACB EUR 1e-05
HG02442 AFR ACB SAS 1e-05
HG02445 AFR ACB EAS 0.007422
HG02445 AFR ACB AMR 1e-05
HG02445 AFR ACB AFR 0.837862
HG02445 AFR ACB EUR 0.154696
HG02445 AFR ACB SAS 1e-05
HG02449 AFR ACB EAS 1e-05
HG02449 AFR ACB AMR 1e-05
HG02449 AFR ACB AFR 0.974803
HG02449 AFR ACB EUR 0.011666
HG02449 AFR ACB SAS 0.013511
HG02450 AFR ACB EAS 1e-05
HG02450 AFR ACB AMR 0.002467
HG02450 AFR ACB AFR 0.956227
HG02450 AFR ACB EUR 0.020366
HG02450 AFR ACB SAS 0.02093
HG02455 AFR ACB EAS 0.005398
HG02455 AFR ACB AMR 0.001053
HG02455 AFR ACB AFR 0.876293
HG02455 AFR ACB EUR 0.084602
HG02455 AFR ACB SAS 0.032653
HG02470 AFR ACB EAS 0.008027
HG02470 AFR ACB AMR 0.002429
HG02470 AFR ACB AFR 0.956499
HG02470 AFR ACB EUR 0.033035
HG02470 AFR ACB SAS 1e-05
HG02471 AFR ACB EAS 1e-05
HG02471 AFR ACB AMR 1e-05
HG02471 AFR ACB AFR 0.949381
HG02471 AFR ACB EUR 0.04975
HG02471 AFR ACB SAS 0.000849
HG02476 AFR ACB EAS 0.01178
HG02476 AFR ACB AMR 1e-05
HG02476 AFR ACB AFR 0.8654
HG02476 AFR ACB EUR 0.081416
HG02476 AFR ACB SAS 0.041394
HG02477 AFR ACB EAS 0.00906
HG02477 AFR ACB AMR 1e-05
HG02477 AFR ACB AFR 0.896986
HG02477 AFR ACB EUR 0.081954
HG02477 AFR ACB SAS 0.011991
HG02479 AFR ACB EAS 1e-05
HG02479 AFR ACB AMR 0.000876
HG02479 AFR ACB AFR 0.937308
HG02479 AFR ACB EUR 0.034857
HG02479 AFR ACB SAS 0.026949
HG02481 AFR ACB EAS 0.016991
HG02481 AFR ACB AMR 0.001947
HG02481 AFR ACB AFR 0.922259
HG02481 AFR ACB EUR 0.031488
HG02481 AFR ACB SAS 0.027315
HG02484 AFR ACB EAS 1e-05
HG02484 AFR ACB AMR 1e-05
HG02484 AFR ACB AFR 0.923545
HG02484 AFR ACB EUR 0.059497
HG02484 AFR ACB SAS 0.016938
HG02485 AFR ACB EAS 1e-05
HG02485 AFR ACB AMR 1e-05
HG02485 AFR ACB AFR 0.730844
HG02485 AFR ACB EUR 0.172804
HG02485 AFR ACB SAS 0.096332
HG02489 AFR ACB EAS 1e-05
HG02489 AFR ACB AMR 1e-05
HG02489 AFR ACB AFR 0.902153
HG02489 AFR ACB EUR 0.097817
HG02489 AFR ACB SAS 1e-05
HG02496 AFR ACB EAS 0.004675
HG02496 AFR ACB AMR 0.002274
HG02496 AFR ACB AFR 0.933448
HG02496 AFR ACB EUR 0.059594
HG02496 AFR ACB SAS 1e-05
HG02497 AFR ACB EAS 1e-05
HG02497 AFR ACB AMR 1e-05
HG02497 AFR ACB AFR 0.967951
HG02497 AFR ACB EUR 1e-05
HG02497 AFR ACB SAS 0.032019
HG02501 AFR ACB EAS 1e-05
HG02501 AFR ACB AMR 0.0165
HG02501 AFR ACB AFR 0.81102
HG02501 AFR ACB EUR 0.17246
HG02501 AFR ACB SAS 1e-05
HG02502 AFR ACB EAS 0.00128
HG02502 AFR ACB AMR 0.03748
HG02502 AFR ACB AFR 0.827951
HG02502 AFR ACB EUR 0.112945
HG02502 AFR ACB SAS 0.020345
HG02505 AFR ACB EAS 0.01349
HG02505 AFR ACB AMR 1e-05
HG02505 AFR ACB AFR 0.920316
HG02505 AFR ACB EUR 0.066174
HG02505 AFR ACB SAS 1e-05
HG02508 AFR ACB EAS 0.021217
HG02508 AFR ACB AMR 0.003208
HG02508 AFR ACB AFR 0.935785
HG02508 AFR ACB EUR 0.03978
HG02508 AFR ACB SAS 1e-05
HG02511 AFR ACB EAS 1e-05
HG02511 AFR ACB AMR 0.018893
HG02511 AFR ACB AFR 0.959942
HG02511 AFR ACB EUR 1e-05
HG02511 AFR ACB SAS 0.021145
HG02536 AFR ACB EAS 1e-05
HG02536 AFR ACB AMR 0.012067
HG02536 AFR ACB AFR 0.831262
HG02536 AFR ACB EUR 0.141667
HG02536 AFR ACB SAS 0.014995
HG02537 AFR ACB EAS 1e-05
HG02537 AFR ACB AMR 1e-05
HG02537 AFR ACB AFR 0.973806
HG02537 AFR ACB EUR 0.026164
HG02537 AFR ACB SAS 1e-05
HG02541 AFR ACB EAS 1e-05
HG02541 AFR ACB AMR 1e-05
HG02541 AFR ACB AFR 0.85048
HG02541 AFR ACB EUR 0.133889
HG02541 AFR ACB SAS 0.015611
HG02545 AFR ACB EAS 0.009492
HG02545 AFR ACB AMR 1e-05
HG02545 AFR ACB AFR 0.943357
HG02545 AFR ACB EUR 0.047132
HG02545 AFR ACB SAS 1e-05
HG02546 AFR ACB EAS 1e-05
HG02546 AFR ACB AMR 1e-05
HG02546 AFR ACB AFR 0.960292
HG02546 AFR ACB EUR 0.007673
HG02546 AFR ACB SAS 0.032016
HG02549 AFR ACB EAS 1e-05
HG02549 AFR ACB AMR 1e-05
HG02549 AFR ACB AFR 0.980839
HG02549 AFR ACB EUR 0.007718
HG02549 AFR ACB SAS 0.011422
HG02554 AFR ACB EAS 0.019304
HG02554 AFR ACB AMR 1e-05
HG02554 AFR ACB AFR 0.916434
HG02554 AFR ACB EUR 0.064242
HG02554 AFR ACB SAS 1e-05
HG02555 AFR ACB EAS 1e-05
HG02555 AFR ACB AMR 0.011304
HG02555 AFR ACB AFR 0.902332
HG02555 AFR ACB EUR 0.060712
HG02555 AFR ACB SAS 0.025641
HG02557 AFR ACB EAS 1e-05
HG02557 AFR ACB AMR 0.015512
HG02557 AFR ACB AFR 0.943548
HG02557 AFR ACB EUR 0.04092
HG02557 AFR ACB SAS 1e-05
HG02558 AFR ACB EAS 1e-05
HG02558 AFR ACB AMR 0.020944
HG02558 AFR ACB AFR 0.910351
HG02558 AFR ACB EUR 0.068686
HG02558 AFR ACB SAS 1e-05
HG02577 AFR ACB EAS 1e-05
HG02577 AFR ACB AMR 1e-05
HG02577 AFR ACB AFR 0.831721
HG02577 AFR ACB EUR 0.168249
HG02577 AFR ACB SAS 1e-05
HG02580 AFR ACB EAS 0.019145
HG02580 AFR ACB AMR 1e-05
HG02580 AFR ACB AFR 0.85876
HG02580 AFR ACB EUR 0.112638
HG02580 AFR ACB SAS 0.009447
HG03713 SAS ITU EAS 0.032332
HG03713 SAS ITU AMR 0.016392
HG03713 SAS ITU AFR 1e-05
HG03713 SAS ITU EUR 0.217152
HG03713 SAS ITU SAS 0.734114
HG03714 SAS ITU EAS 0.012935
HG03714 SAS ITU AMR 0.001563
HG03714 SAS ITU AFR 1e-05
HG03714 SAS ITU EUR 0.217729
HG03714 SAS ITU SAS 0.767763
HG03716 SAS ITU EAS 0.004294
HG03716 SAS ITU AMR 0.055414
HG03716 SAS ITU AFR 1e-05
HG03716 SAS ITU EUR 0.212111
HG03716 SAS ITU SAS 0.728171
HG03717 SAS ITU EAS 1e-05
HG03717 SAS ITU AMR 0.01553
HG03717 SAS ITU AFR 1e-05
HG03717 SAS ITU EUR 1e-05
HG03717 SAS ITU SAS 0.98444
HG03718 SAS ITU EAS 0.008703
HG03718 SAS ITU AMR 0.022169
HG03718 SAS ITU AFR 1e-05
HG03718 SAS ITU EUR 1e-05
HG03718 SAS ITU SAS 0.969108
HG03720 SAS ITU EAS 1e-05
HG03720 SAS ITU AMR 0.043544
HG03720 SAS ITU AFR 1e-05
HG03720 SAS ITU EUR 0.048796
HG03720 SAS ITU SAS 0.90764
HG03722 SAS ITU EAS 0.009136
HG03722 SAS ITU AMR 0.015845
HG03722 SAS ITU AFR 1e-05
HG03722 SAS ITU EUR 1e-05
HG03722 SAS ITU SAS 0.974999
HG03727 SAS ITU EAS 0.018458
HG03727 SAS ITU AMR 0.004681
HG03727 SAS ITU AFR 0.002305
HG03727 SAS ITU EUR 0.112313
HG03727 SAS ITU SAS 0.862243
HG03729 SAS ITU EAS 0.009878
HG03729 SAS ITU AMR 0.000661
HG03729 SAS ITU AFR 1e-05
HG03729 SAS ITU EUR 0.054323
HG03729 SAS ITU SAS 0.935128
HG03730 SAS ITU EAS 0.013083
HG03730 SAS ITU AMR 0.019534
HG03730 SAS ITU AFR 1e-05
HG03730 SAS ITU EUR 1e-05
HG03730 SAS ITU SAS 0.967363
HG03731 SAS ITU EAS 0.016453
HG03731 SAS ITU AMR 0.016183
HG03731 SAS ITU AFR 1e-05
HG03731 SAS ITU EUR 0.060555
HG03731 SAS ITU SAS 0.906799
HG03742 SAS ITU EAS 0.029586
HG03742 SAS ITU AMR 1e-05
HG03742 SAS ITU AFR 1e-05
HG03742 SAS ITU EUR 0.115031
HG03742 SAS ITU SAS 0.855363
HG03770 SAS ITU EAS 0.091959
HG03770 SAS ITU AMR 1e-05
HG03770 SAS ITU AFR 1e-05
HG03770 SAS ITU EUR 0.088761
HG03770 SAS ITU SAS 0.81926
HG03771 SAS ITU EAS 0.069273
HG03771 SAS ITU AMR 0.004978
HG03771 SAS ITU AFR 1e-05
HG03771 SAS ITU EUR 0.059131
HG03771 SAS ITU SAS 0.866609
HG03772 SAS ITU EAS 1e-05
HG03772 SAS ITU AMR 1e-05
HG03772 SAS ITU AFR 1e-05
HG03772 SAS ITU EUR 1e-05
HG03772 SAS ITU SAS 0.99996
HG03773 SAS ITU EAS 1e-05
HG03773 SAS ITU AMR 1e-05
HG03773 SAS ITU AFR 1e-05
HG03773 SAS ITU EUR 1e-05
HG03773 SAS ITU SAS 0.99996
HG03774 SAS ITU EAS 0.009153
HG03774 SAS ITU AMR 0.018112
HG03774 SAS ITU AFR 1e-05
HG03774 SAS ITU EUR 0.051017
HG03774 SAS ITU SAS 0.921708
HG03775 SAS ITU EAS 0.047697
HG03775 SAS ITU AMR 0.009472
HG03775 SAS ITU AFR 1e-05
HG03775 SAS ITU EUR 0.106298
HG03775 SAS ITU SAS 0.836523
HG03777 SAS ITU EAS 0.026907
HG03777 SAS ITU AMR 0.000822
HG03777 SAS ITU AFR 1e-05
HG03777 SAS ITU EUR 0.075787
HG03777 SAS ITU SAS 0.896473
HG03778 SAS ITU EAS 0.039427
HG03778 SAS ITU AMR 0.02202
HG03778 SAS ITU AFR 1e-05
HG03778 SAS ITU EUR 0.065282
HG03778 SAS ITU SAS 0.873261
HG03779 SAS ITU EAS 0.040614
HG03779 SAS ITU AMR 1e-05
HG03779 SAS ITU AFR 1e-05
HG03779 SAS ITU EUR 0.094455
HG03779 SAS ITU SAS 0.864911
HG03780 SAS ITU EAS 0.006861
HG03780 SAS ITU AMR 0.006876
HG03780 SAS ITU AFR 1e-05
HG03780 SAS ITU EUR 0.103342
HG03780 SAS ITU SAS 0.882911
HG03781 SAS ITU EAS 0.026599
HG03781 SAS ITU AMR 0.03604
HG03781 SAS ITU AFR 1e-05
HG03781 SAS ITU EUR 0.057974
HG03781 SAS ITU SAS 0.879377
HG03782 SAS ITU EAS 0.023347
HG03782 SAS ITU AMR 0.002446
HG03782 SAS ITU AFR 1e-05
HG03782 SAS ITU EUR 0.07057
HG03782 SAS ITU SAS 0.903627
HG03784 SAS ITU EAS 1e-05
HG03784 SAS ITU AMR 0.018539
HG03784 SAS ITU AFR 1e-05
HG03784 SAS ITU EUR 1e-05
HG03784 SAS ITU SAS 0.981431
HG03785 SAS ITU EAS 0.017424
HG03785 SAS ITU AMR 1e-05
HG03785 SAS ITU AFR 1e-05
HG03785 SAS ITU EUR 0.00918
HG03785 SAS ITU SAS 0.973376
HG03786 SAS ITU EAS 0.025474
HG03786 SAS ITU AMR 1e-05
HG03786 SAS ITU AFR 1e-05
HG03786 SAS ITU EUR 1e-05
HG03786 SAS ITU SAS 0.974496
HG03787 SAS ITU EAS 0.040608
HG03787 SAS ITU AMR 0.00818
HG03787 SAS ITU AFR 1e-05
HG03787 SAS ITU EUR 0.032982
HG03787 SAS ITU SAS 0.91822
HG03788 SAS ITU EAS 0.048184
HG03788 SAS ITU AMR 0.00731
HG03788 SAS ITU AFR 1e-05
HG03788 SAS ITU EUR 0.075852
HG03788 SAS ITU SAS 0.868644
HG03789 SAS ITU EAS 0.008748
HG03789 SAS ITU AMR 0.027601
HG03789 SAS ITU AFR 1e-05
HG03789 SAS ITU EUR 0.198079
HG03789 SAS ITU SAS 0.765563
HG03790 SAS ITU EAS 1e-05
HG03790 SAS ITU AMR 0.009833
HG03790 SAS ITU AFR 1e-05
HG03790 SAS ITU EUR 0.046861
HG03790 SAS ITU SAS 0.943286
HG03792 SAS ITU EAS 0.001155
HG03792 SAS ITU AMR 0.021003
HG03792 SAS ITU AFR 1e-05
HG03792 SAS ITU EUR 0.117294
HG03792 SAS ITU SAS 0.860539
HG03861 SAS ITU EAS 1e-05
HG03861 SAS ITU AMR 0.030852
HG03861 SAS ITU AFR 1e-05
HG03861 SAS ITU EUR 1e-05
HG03861 SAS ITU SAS 0.969118
HG03862 SAS ITU EAS 1e-05
HG03862 SAS ITU AMR 0.00894
HG03862 SAS ITU AFR 1e-05
HG03862 SAS ITU EUR 0.068975
HG03862 SAS ITU SAS 0.922065
HG03863 SAS ITU EAS 0.001615
HG03863 SAS ITU AMR 0.006434
HG03863 SAS ITU AFR 1e-05
HG03863 SAS ITU EUR 0.093889
HG03863 SAS ITU SAS 0.898052
HG03864 SAS ITU EAS 0.022277
HG03864 SAS ITU AMR 0.006299
HG03864 SAS ITU AFR 1e-05
HG03864 SAS ITU EUR 0.056253
HG03864 SAS ITU SAS 0.915161
HG03866 SAS ITU EAS 0.056813
HG03866 SAS ITU AMR 0.007319
HG03866 SAS ITU AFR 1e-05
HG03866 SAS ITU EUR 0.146086
HG03866 SAS ITU SAS 0.789772
HG03867 SAS ITU EAS 0.067397
HG03867 SAS ITU AMR 0.039294
HG03867 SAS ITU AFR 1e-05
HG03867 SAS ITU EUR 0.010264
HG03867 SAS ITU SAS 0.883034
HG03868 SAS ITU EAS 0.024579
HG03868 SAS ITU AMR 0.011049
HG03868 SAS ITU AFR 1e-05
HG03868 SAS ITU EUR 0.115625
HG03868 SAS ITU SAS 0.848736
HG03869 SAS ITU EAS 1e-05
HG03869 SAS ITU AMR 0.025818
HG03869 SAS ITU AFR 1e-05
HG03869 SAS ITU EUR 0.087458
HG03869 SAS ITU SAS 0.886703
HG03870 SAS ITU EAS 0.024036
HG03870 SAS ITU AMR 0.013313
HG03870 SAS ITU AFR 1e-05
HG03870 SAS ITU EUR 0.070875
HG03870 SAS ITU SAS 0.891765
HG03871 SAS ITU EAS 1e-05
HG03871 SAS ITU AMR 1e-05
HG03871 SAS ITU AFR 1e-05
HG03871 SAS ITU EUR 0.035075
HG03871 SAS ITU SAS 0.964895
HG03872 SAS ITU EAS 0.028667
HG03872 SAS ITU AMR 0.006733
HG03872 SAS ITU AFR 1e-05
HG03872 SAS ITU EUR 0.09133
HG03872 SAS ITU SAS 0.873261
HG03873 SAS ITU EAS 0.036175
HG03873 SAS ITU AMR 0.008686
HG03873 SAS ITU AFR 0.001766
HG03873 SAS ITU EUR 0.037854
HG03873 SAS ITU SAS 0.915519
HG03874 SAS ITU EAS 0.028867
HG03874 SAS ITU AMR 1e-05
HG03874 SAS ITU AFR 1e-05
HG03874 SAS ITU EUR 0.0959
HG03874 SAS ITU SAS 0.875212
HG03875 SAS ITU EAS 0.009991
HG03875 SAS ITU AMR 1e-05
HG03875 SAS ITU AFR 0.001138
HG03875 SAS ITU EUR 0.210258
HG03875 SAS ITU SAS 0.778603
HG03882 SAS ITU EAS 1e-05
HG03882 SAS ITU AMR 0.010118
HG03882 SAS ITU AFR 1e-05
HG03882 SAS ITU EUR 0.04765
HG03882 SAS ITU SAS 0.942212
HG03960 SAS ITU EAS 0.00175
HG03960 SAS ITU AMR 0.028409
HG03960 SAS ITU AFR 1e-05
HG03960 SAS ITU EUR 0.049268
HG03960 SAS ITU SAS 0.920563
HG03963 SAS ITU EAS 0.019908
HG03963 SAS ITU AMR 0.026309
HG03963 SAS ITU AFR 1e-05
HG03963 SAS ITU EUR 0.078895
HG03963 SAS ITU SAS 0.874878
HG03965 SAS ITU EAS 0.05019
HG03965 SAS ITU AMR 0.004589
HG03965 SAS ITU AFR 1e-05
HG03965 SAS ITU EUR 0.02275
HG03965 SAS ITU SAS 0.922462
HG03967 SAS ITU EAS 0.03359
HG03967 SAS ITU AMR 1e-05
HG03967 SAS ITU AFR 1e-05
HG03967 SAS ITU EUR 0.187806
HG03967 SAS ITU SAS 0.778584
HG03968 SAS ITU EAS 0.006544
HG03968 SAS ITU AMR 1e-05
HG03968 SAS ITU AFR 0.003003
HG03968 SAS ITU EUR 0.088569
HG03968 SAS ITU SAS 0.901874
HG03969 SAS ITU EAS 1e-05
HG03969 SAS ITU AMR 0.023769
HG03969 SAS ITU AFR 1e-05
HG03969 SAS ITU EUR 0.066315
HG03969 SAS ITU SAS 0.909896
HG03971 SAS ITU EAS 0.003583
HG03971 SAS ITU AMR 0.026437
HG03971 SAS ITU AFR 1e-05
HG03971 SAS ITU EUR 0.098674
HG03971 SAS ITU SAS 0.871296
HG03973 SAS ITU EAS 0.031701
HG03973 SAS ITU AMR 1e-05
HG03973 SAS ITU AFR 1e-05
HG03973 SAS ITU EUR 0.101424
HG03973 SAS ITU SAS 0.866856
HG03974 SAS ITU EAS 0.022807
HG03974 SAS ITU AMR 0.010801
HG03974 SAS ITU AFR 1e-05
HG03974 SAS ITU EUR 0.06215
HG03974 SAS ITU SAS 0.904232
HG03976 SAS ITU EAS 0.029099
HG03976 SAS ITU AMR 0.003156
HG03976 SAS ITU AFR 1e-05
HG03976 SAS ITU EUR 0.035243
HG03976 SAS ITU SAS 0.932492
HG03977 SAS ITU EAS 0.044525
HG03977 SAS ITU AMR 0.024292
HG03977 SAS ITU AFR 1e-05
HG03977 SAS ITU EUR 1e-05
HG03977 SAS ITU SAS 0.931163
HG03978 SAS ITU EAS 0.029941
HG03978 SAS ITU AMR 1e-05
HG03978 SAS ITU AFR 1e-05
HG03978 SAS ITU EUR 0.103235
HG03978 SAS ITU SAS 0.866804
HG04001 SAS ITU EAS 0.058541
HG04001 SAS ITU AMR 1e-05
HG04001 SAS ITU AFR 1e-05
HG04001 SAS ITU EUR 0.07874
HG04001 SAS ITU SAS 0.8627
HG04002 SAS ITU EAS 0.057438
HG04002 SAS ITU AMR 1e-05
HG04002 SAS ITU AFR 1e-05
HG04002 SAS ITU EUR 0.112747
HG04002 SAS ITU SAS 0.829794
HG04014 SAS ITU EAS 0.037487
HG04014 SAS ITU AMR 0.024343
HG04014 SAS ITU AFR 1e-05
HG04014 SAS ITU EUR 0.075505
HG04014 SAS ITU SAS 0.862655
HG04015 SAS ITU EAS 0.025604
HG04015 SAS ITU AMR 0.004639
HG04015 SAS ITU AFR 1e-05
HG04015 SAS ITU EUR 0.071064
HG04015 SAS ITU SAS 0.898682
HG04017 SAS ITU EAS 1e-05
HG04017 SAS ITU AMR 1e-05
HG04017 SAS ITU AFR 1e-05
HG04017 SAS ITU EUR 0.001288
HG04017 SAS ITU SAS 0.998682
HG04018 SAS ITU EAS 1e-05
HG04018 SAS ITU AMR 0.010509
HG04018 SAS ITU AFR 1e-05
HG04018 SAS ITU EUR 0.121025
HG04018 SAS ITU SAS 0.868446
HG04019 SAS ITU EAS 1e-05
HG04019 SAS ITU AMR 0.02538
HG04019 SAS ITU AFR 1e-05
HG04019 SAS ITU EUR 0.05832
HG04019 SAS ITU SAS 0.91628
HG04020 SAS ITU EAS 0.068977
HG04020 SAS ITU AMR 1e-05
HG04020 SAS ITU AFR 0.001032
HG04020 SAS ITU EUR 0.146569
HG04020 SAS ITU SAS 0.783413
HG04022 SAS ITU EAS 0.021461
HG04022 SAS ITU AMR 1e-05
HG04022 SAS ITU AFR 0.000481
HG04022 SAS ITU EUR 0.075135
HG04022 SAS ITU SAS 0.902914
HG04023 SAS ITU EAS 0.023184
HG04023 SAS ITU AMR 0.013307
HG04023 SAS ITU AFR 1e-05
HG04023 SAS ITU EUR 1e-05
HG04023 SAS ITU SAS 0.963489
HG04025 SAS ITU EAS 0.000624
HG04025 SAS ITU AMR 0.017579
HG04025 SAS ITU AFR 1e-05
HG04025 SAS ITU EUR 1e-05
HG04025 SAS ITU SAS 0.981777
HG04026 SAS ITU EAS 1e-05
HG04026 SAS ITU AMR 1e-05
HG04026 SAS ITU AFR 1e-05
HG04026 SAS ITU EUR 1e-05
HG04026 SAS ITU SAS 0.99996
HG04054 SAS ITU EAS 0.025553
HG04054 SAS ITU AMR 1e-05
HG04054 SAS ITU AFR 1e-05
HG04054 SAS ITU EUR 1e-05
HG04054 SAS ITU SAS 0.974417
HG04056 SAS ITU EAS 1e-05
HG04056 SAS ITU AMR 1e-05
HG04056 SAS ITU AFR 1e-05
HG04056 SAS ITU EUR 0.02359
HG04056 SAS ITU SAS 0.97638
HG04059 SAS ITU EAS 0.006981
HG04059 SAS ITU AMR 1e-05
HG04059 SAS ITU AFR 1e-05
HG04059 SAS ITU EUR 0.075933
HG04059 SAS ITU SAS 0.917066
HG04060 SAS ITU EAS 1e-05
HG04060 SAS ITU AMR 0.032663
HG04060 SAS ITU AFR 1e-05
HG04060 SAS ITU EUR 0.126178
HG04060 SAS ITU SAS 0.841139
HG04061 SAS ITU EAS 0.013647
HG04061 SAS ITU AMR 0.029692
HG04061 SAS ITU AFR 1e-05
HG04061 SAS ITU EUR 1e-05
HG04061 SAS ITU SAS 0.956641
HG04062 SAS ITU EAS 0.078272
HG04062 SAS ITU AMR 1e-05
HG04062 SAS ITU AFR 1e-05
HG04062 SAS ITU EUR 0.015804
HG04062 SAS ITU SAS 0.905904
HG04063 SAS ITU EAS 1e-05
HG04063 SAS ITU AMR 0.01035
HG04063 SAS ITU AFR 1e-05
HG04063 SAS ITU EUR 1e-05
HG04063 SAS ITU SAS 0.98962
HG04070 SAS ITU EAS 0.026516
HG04070 SAS ITU AMR 0.01352
HG04070 SAS ITU AFR 1e-05
HG04070 SAS ITU EUR 0.035676
HG04070 SAS ITU SAS 0.924278
HG04076 SAS ITU EAS 0.02634
HG04076 SAS ITU AMR 0.005769
HG04076 SAS ITU AFR 1e-05
HG04076 SAS ITU EUR 0.111373
HG04076 SAS ITU SAS 0.856509
HG04080 SAS ITU EAS 1e-05
HG04080 SAS ITU AMR 0.001069
HG04080 SAS ITU AFR 0.004093
HG04080 SAS ITU EUR 0.126634
HG04080 SAS ITU SAS 0.868193
HG04090 SAS ITU EAS 0.053745
HG04090 SAS ITU AMR 0.017835
HG04090 SAS ITU AFR 1e-05
HG04090 SAS ITU EUR 0.086639
HG04090 SAS ITU SAS 0.84177
HG04093 SAS ITU EAS 0.005874
HG04093 SAS ITU AMR 0.018517
HG04093 SAS ITU AFR 1e-05
HG04093 SAS ITU EUR 0.05405
HG04093 SAS ITU SAS 0.921549
HG04094 SAS ITU EAS 0.041126
HG04094 SAS ITU AMR 0.000788
HG04094 SAS ITU AFR 1e-05
HG04094 SAS ITU EUR 0.128376
HG04094 SAS ITU SAS 0.829699
HG04096 SAS ITU EAS 1e-05
HG04096 SAS ITU AMR 0.006088
HG04096 SAS ITU AFR 1e-05
HG04096 SAS ITU EUR 0.023613
HG04096 SAS ITU SAS 0.970278
HG04098 SAS ITU EAS 0.050531
HG04098 SAS ITU AMR 0.004163
HG04098 SAS ITU AFR 1e-05
HG04098 SAS ITU EUR 0.051314
HG04098 SAS ITU SAS 0.893982
HG04118 SAS ITU EAS 1e-05
HG04118 SAS ITU AMR 0.013373
HG04118 SAS ITU AFR 1e-05
HG04118 SAS ITU EUR 0.07706
HG04118 SAS ITU SAS 0.909547
HG04198 SAS ITU EAS 1e-05
HG04198 SAS ITU AMR 0.037078
HG04198 SAS ITU AFR 1e-05
HG04198 SAS ITU EUR 0.111731
HG04198 SAS ITU SAS 0.851172
HG04200 SAS ITU EAS 0.009398
HG04200 SAS ITU AMR 0.007139
HG04200 SAS ITU AFR 1e-05
HG04200 SAS ITU EUR 0.106996
HG04200 SAS ITU SAS 0.876457
HG04202 SAS ITU EAS 0.077207
HG04202 SAS ITU AMR 1e-05
HG04202 SAS ITU AFR 1e-05
HG04202 SAS ITU EUR 0.109169
HG04202 SAS ITU SAS 0.813604
HG04206 SAS ITU EAS 0.001616
HG04206 SAS ITU AMR 1e-05
HG04206 SAS ITU AFR 1e-05
HG04206 SAS ITU EUR 0.125935
HG04206 SAS ITU SAS 0.872429
HG04209 SAS ITU EAS 0.032624
HG04209 SAS ITU AMR 0.031804
HG04209 SAS ITU AFR 1e-05
HG04209 SAS ITU EUR 0.102699
HG04209 SAS ITU SAS 0.832863
HG04211 SAS ITU EAS 1e-05
HG04211 SAS ITU AMR 0.014668
HG04211 SAS ITU AFR 1e-05
HG04211 SAS ITU EUR 0.07845
HG04211 SAS ITU SAS 0.906863
HG04212 SAS ITU EAS 1e-05
HG04212 SAS ITU AMR 0.0236
HG04212 SAS ITU AFR 1e-05
HG04212 SAS ITU EUR 0.029358
HG04212 SAS ITU SAS 0.947022
HG04214 SAS ITU EAS 1e-05
HG04214 SAS ITU AMR 1e-05
HG04214 SAS ITU AFR 1e-05
HG04214 SAS ITU EUR 0.126383
HG04214 SAS ITU SAS 0.873587
HG04216 SAS ITU EAS 0.061276
HG04216 SAS ITU AMR 1e-05
HG04216 SAS ITU AFR 1e-05
HG04216 SAS ITU EUR 0.117101
HG04216 SAS ITU SAS 0.821603
HG04219 SAS ITU EAS 1.4e-05
HG04219 SAS ITU AMR 0.026203
HG04219 SAS ITU AFR 1e-05
HG04219 SAS ITU EUR 0.069927
HG04219 SAS ITU SAS 0.903846
HG04222 SAS ITU EAS 0.02207
HG04222 SAS ITU AMR 0.002569
HG04222 SAS ITU AFR 1e-05
HG04222 SAS ITU EUR 0.022685
HG04222 SAS ITU SAS 0.952666
HG04225 SAS ITU EAS 1e-05
