sample super_pop pop admixture value
HG01935 AMR PEL SAS 0.019943
HG01936 AMR PEL EAS 1e-05
HG01936 AMR PEL AMR 0.667827
HG01936 AMR PEL AFR 0.034221
HG01936 AMR PEL EUR 0.250696
HG01936 AMR PEL SAS 0.047246
HG01938 AMR PEL EAS 1e-05
HG01938 AMR PEL AMR 0.99996
HG01938 AMR PEL AFR 1e-05
HG01938 AMR PEL EUR 1e-05
HG01938 AMR PEL SAS 1e-05
HG01939 AMR PEL EAS 1e-05
HG01939 AMR PEL AMR 0.820265
HG01939 AMR PEL AFR 0.001467
HG01939 AMR PEL EUR 0.178247
HG01939 AMR PEL SAS 1e-05
HG01941 AMR PEL EAS 0.015899
HG01941 AMR PEL AMR 0.812256
HG01941 AMR PEL AFR 0.062187
HG01941 AMR PEL EUR 0.062109
HG01941 AMR PEL SAS 0.047549
HG01942 AMR PEL EAS 0.003535
HG01942 AMR PEL AMR 0.854895
HG01942 AMR PEL AFR 1e-05
HG01942 AMR PEL EUR 0.106227
HG01942 AMR PEL SAS 0.035334
HG01944 AMR PEL EAS 0.348107
HG01944 AMR PEL AMR 0.552834
HG01944 AMR PEL AFR 0.005747
HG01944 AMR PEL EUR 0.037915
HG01944 AMR PEL SAS 0.055397
HG01945 AMR PEL EAS 0.018604
HG01945 AMR PEL AMR 0.809588
HG01945 AMR PEL AFR 0.003195
HG01945 AMR PEL EUR 0.147659
HG01945 AMR PEL SAS 0.020953
HG01947 AMR PEL EAS 1e-05
HG01947 AMR PEL AMR 0.608395
HG01947 AMR PEL AFR 0.035319
HG01947 AMR PEL EUR 0.272319
HG01947 AMR PEL SAS 0.083958
HG01948 AMR PEL EAS 0.049647
HG01948 AMR PEL AMR 0.663484
HG01948 AMR PEL AFR 0.15251
HG01948 AMR PEL EUR 0.014592
HG01948 AMR PEL SAS 0.119766
HG01950 AMR PEL EAS 0.008941
HG01950 AMR PEL AMR 0.846398
HG01950 AMR PEL AFR 0.063493
HG01950 AMR PEL EUR 0.081122
HG01950 AMR PEL SAS 4.7e-05
HG01951 AMR PEL EAS 1e-05
HG01951 AMR PEL AMR 0.971454
HG01951 AMR PEL AFR 0.018904
HG01951 AMR PEL EUR 1e-05
HG01951 AMR PEL SAS 0.009622
HG01953 AMR PEL EAS 1e-05
HG01953 AMR PEL AMR 0.938605
HG01953 AMR PEL AFR 0.002814
HG01953 AMR PEL EUR 0.053925
HG01953 AMR PEL SAS 0.004646
HG01954 AMR PEL EAS 0.060991
HG01954 AMR PEL AMR 0.879966
HG01954 AMR PEL AFR 1e-05
HG01954 AMR PEL EUR 0.059022
HG01954 AMR PEL SAS 1e-05
HG01956 AFR ACB EAS 1e-05
HG01956 AFR ACB AMR 1e-05
HG01956 AFR ACB AFR 0.957946
HG01956 AFR ACB EUR 0.042024
HG01956 AFR ACB SAS 1e-05
HG01958 AFR ACB EAS 1e-05
HG01958 AFR ACB AMR 0.014649
HG01958 AFR ACB AFR 0.866538
HG01958 AFR ACB EUR 0.087701
HG01958 AFR ACB SAS 0.031101
HG01961 AMR PEL EAS 1e-05
HG01961 AMR PEL AMR 0.99996
HG01961 AMR PEL AFR 1e-05
HG01961 AMR PEL EUR 1e-05
HG01961 AMR PEL SAS 1e-05
HG01965 AMR PEL EAS 0.040821
HG01965 AMR PEL AMR 0.563478
HG01965 AMR PEL AFR 0.103695
HG01965 AMR PEL EUR 0.254523
HG01965 AMR PEL SAS 0.037483
HG01967 AMR PEL EAS 0.02647
HG01967 AMR PEL AMR 0.627296
HG01967 AMR PEL AFR 0.006273
HG01967 AMR PEL EUR 0.33995
HG01967 AMR PEL SAS 1e-05
HG01968 AMR PEL EAS 1e-05
HG01968 AMR PEL AMR 0.988685
HG01968 AMR PEL AFR 1e-05
HG01968 AMR PEL EUR 0.011285
HG01968 AMR PEL SAS 1e-05
HG01970 AMR PEL EAS 1e-05
HG01970 AMR PEL AMR 0.67016
HG01970 AMR PEL AFR 1e-05
HG01970 AMR PEL EUR 0.273465
HG01970 AMR PEL SAS 0.056355
HG01971 AMR PEL EAS 0.033497
HG01971 AMR PEL AMR 0.529536
HG01971 AMR PEL AFR 0.150536
HG01971 AMR PEL EUR 0.223715
HG01971 AMR PEL SAS 0.062716
HG01973 AMR PEL EAS 1e-05
HG01973 AMR PEL AMR 0.8421
HG01973 AMR PEL AFR 0.0293
HG01973 AMR PEL EUR 0.116025
HG01973 AMR PEL SAS 0.012565
HG01974 AMR PEL EAS 0.025939
HG01974 AMR PEL AMR 0.974031
HG01974 AMR PEL AFR 1e-05
HG01974 AMR PEL EUR 1e-05
HG01974 AMR PEL SAS 1e-05
HG01976 AMR PEL EAS 1e-05
HG01976 AMR PEL AMR 0.738996
HG01976 AMR PEL AFR 0.006175
HG01976 AMR PEL EUR 0.24697
HG01976 AMR PEL SAS 0.007848
HG01977 AMR PEL EAS 0.011635
HG01977 AMR PEL AMR 0.784953
HG01977 AMR PEL AFR 1e-05
HG01977 AMR PEL EUR 0.160582
HG01977 AMR PEL SAS 0.042821
HG01979 AMR PEL EAS 0.013084
HG01979 AMR PEL AMR 0.664197
HG01979 AMR PEL AFR 0.006578
HG01979 AMR PEL EUR 0.250821
HG01979 AMR PEL SAS 0.065321
HG01980 AMR PEL EAS 0.023849
HG01980 AMR PEL AMR 0.764942
HG01980 AMR PEL AFR 0.019408
HG01980 AMR PEL EUR 0.191791
HG01980 AMR PEL SAS 1e-05
HG01982 AMR PEL EAS 0.013861
HG01982 AMR PEL AMR 0.729362
HG01982 AMR PEL AFR 0.005681
HG01982 AMR PEL EUR 0.192757
HG01982 AMR PEL SAS 0.058339
HG01985 AFR ACB EAS 1e-05
HG01985 AFR ACB AMR 0.011441
HG01985 AFR ACB AFR 0.947794
HG01985 AFR ACB EUR 0.040745
HG01985 AFR ACB SAS 1e-05
HG01986 AFR ACB EAS 1e-05
HG01986 AFR ACB AMR 1e-05
HG01986 AFR ACB AFR 0.903272
HG01986 AFR ACB EUR 0.096698
HG01986 AFR ACB SAS 1e-05
HG01988 AFR ACB EAS 1e-05
HG01988 AFR ACB AMR 0.021384
HG01988 AFR ACB AFR 0.55252
HG01988 AFR ACB EUR 0.426076
HG01988 AFR ACB SAS 1e-05
HG01989 AFR ACB EAS 0.002126
HG01989 AFR ACB AMR 0.015968
HG01989 AFR ACB AFR 0.860294
HG01989 AFR ACB EUR 0.121602
HG01989 AFR ACB SAS 1e-05
HG01990 AFR ACB EAS 0.002877
HG01990 AFR ACB AMR 1e-05
HG01990 AFR ACB AFR 0.927538
HG01990 AFR ACB EUR 0.069565
HG01990 AFR ACB SAS 1e-05
HG01991 AMR PEL EAS 0.01327
HG01991 AMR PEL AMR 0.769678
HG01991 AMR PEL AFR 0.01454
HG01991 AMR PEL EUR 0.171041
HG01991 AMR PEL SAS 0.03147
HG01992 AMR PEL EAS 0.007606
HG01992 AMR PEL AMR 0.909409
HG01992 AMR PEL AFR 1e-05
HG01992 AMR PEL EUR 0.082964
HG01992 AMR PEL SAS 1e-05
HG01997 AMR PEL EAS 1e-05
HG01997 AMR PEL AMR 0.936657
HG01997 AMR PEL AFR 1e-05
HG01997 AMR PEL EUR 0.059356
HG01997 AMR PEL SAS 0.003967
HG02002 AMR PEL EAS 0.016553
HG02002 AMR PEL AMR 0.807584
HG02002 AMR PEL AFR 1e-05
HG02002 AMR PEL EUR 0.175843
HG02002 AMR PEL SAS 1e-05
HG02003 AMR PEL EAS 0.020846
HG02003 AMR PEL AMR 0.842235
HG02003 AMR PEL AFR 1e-05
HG02003 AMR PEL EUR 0.136899
HG02003 AMR PEL SAS 1e-05
HG02006 AMR PEL EAS 0.003975
HG02006 AMR PEL AMR 0.309525
HG02006 AMR PEL AFR 0.412181
HG02006 AMR PEL EUR 0.229939
HG02006 AMR PEL SAS 0.044379
HG02008 AMR PEL EAS 1e-05
HG02008 AMR PEL AMR 0.860175
HG02008 AMR PEL AFR 1e-05
HG02008 AMR PEL EUR 0.103396
HG02008 AMR PEL SAS 0.036409
HG02009 AFR ACB EAS 0.016674
HG02009 AFR ACB AMR 0.005537
HG02009 AFR ACB AFR 0.862766
HG02009 AFR ACB EUR 0.115013
HG02009 AFR ACB SAS 1e-05
HG02010 AFR ACB EAS 1e-05
HG02010 AFR ACB AMR 1e-05
HG02010 AFR ACB AFR 0.851822
HG02010 AFR ACB EUR 0.148148
HG02010 AFR ACB SAS 1e-05
HG02012 AFR ACB EAS 0.009967
HG02012 AFR ACB AMR 1e-05
HG02012 AFR ACB AFR 0.929934
HG02012 AFR ACB EUR 0.038441
HG02012 AFR ACB SAS 0.021649
HG02013 AFR ACB EAS 1e-05
HG02013 AFR ACB AMR 1e-05
HG02013 AFR ACB AFR 0.987208
HG02013 AFR ACB EUR 0.008149
HG02013 AFR ACB SAS 0.004623
HG02014 AFR ACB EAS 1e-05
HG02014 AFR ACB AMR 1e-05
HG02014 AFR ACB AFR 0.89241
HG02014 AFR ACB EUR 0.095462
HG02014 AFR ACB SAS 0.012108
HG02051 AFR ACB EAS 1e-05
HG02051 AFR ACB AMR 0.003306
HG02051 AFR ACB AFR 0.996664
HG02051 AFR ACB EUR 1e-05
HG02051 AFR ACB SAS 1e-05
HG02052 AFR ACB EAS 1e-05
HG02052 AFR ACB AMR 1e-05
HG02052 AFR ACB AFR 0.99996
HG02052 AFR ACB EUR 1e-05
HG02052 AFR ACB SAS 1e-05
HG02053 AFR ACB EAS 0.008768
HG02053 AFR ACB AMR 1e-05
HG02053 AFR ACB AFR 0.948766
HG02053 AFR ACB EUR 0.028176
HG02053 AFR ACB SAS 0.014281
HG02054 AFR ACB EAS 0.013599
HG02054 AFR ACB AMR 1e-05
HG02054 AFR ACB AFR 0.892609
HG02054 AFR ACB EUR 0.092353
HG02054 AFR ACB SAS 0.00143
HG02089 AMR PEL EAS 1e-05
HG02089 AMR PEL AMR 0.693058
HG02089 AMR PEL AFR 0.013895
HG02089 AMR PEL EUR 0.271791
HG02089 AMR PEL SAS 0.021247
HG02090 AMR PEL EAS 0.007008
HG02090 AMR PEL AMR 0.583894
HG02090 AMR PEL AFR 0.130618
HG02090 AMR PEL EUR 0.241498
HG02090 AMR PEL SAS 0.036982
HG02095 AFR ACB EAS 1e-05
HG02095 AFR ACB AMR 1e-05
HG02095 AFR ACB AFR 0.954858
HG02095 AFR ACB EUR 0.019811
HG02095 AFR ACB SAS 0.025311
HG02102 AMR PEL EAS 0.014776
HG02102 AMR PEL AMR 0.888988
HG02102 AMR PEL AFR 1e-05
HG02102 AMR PEL EUR 0.084069
HG02102 AMR PEL SAS 0.012157
HG02104 AMR PEL EAS 1e-05
HG02104 AMR PEL AMR 0.91918
HG02104 AMR PEL AFR 1e-05
HG02104 AMR PEL EUR 0.05849
HG02104 AMR PEL SAS 0.02231
HG02105 AMR PEL EAS 1e-05
HG02105 AMR PEL AMR 0.981248
HG02105 AMR PEL AFR 1e-05
HG02105 AMR PEL EUR 1e-05
HG02105 AMR PEL SAS 0.018722
HG02107 AFR ACB EAS 1e-05
HG02107 AFR ACB AMR 0.030798
HG02107 AFR ACB AFR 0.968524
HG02107 AFR ACB EUR 1e-05
HG02107 AFR ACB SAS 0.000658
HG02108 AFR ACB EAS 0.017239
HG02108 AFR ACB AMR 1e-05
HG02108 AFR ACB AFR 0.842075
HG02108 AFR ACB EUR 0.11085
HG02108 AFR ACB SAS 0.029827
HG02111 AFR ACB EAS 1e-05
HG02111 AFR ACB AMR 1e-05
HG02111 AFR ACB AFR 0.947163
HG02111 AFR ACB EUR 0.028737
HG02111 AFR ACB SAS 0.02408
HG02143 AFR ACB EAS 1e-05
HG02143 AFR ACB AMR 1e-05
HG02143 AFR ACB AFR 0.814846
HG02143 AFR ACB EUR 0.185124
HG02143 AFR ACB SAS 1e-05
HG02144 AFR ACB EAS 0.005895
HG02144 AFR ACB AMR 1e-05
HG02144 AFR ACB AFR 0.931328
HG02144 AFR ACB EUR 0.062757
HG02144 AFR ACB SAS 1e-05
HG02146 AMR PEL EAS 1e-05
HG02146 AMR PEL AMR 0.899931
HG02146 AMR PEL AFR 1e-05
HG02146 AMR PEL EUR 0.094504
HG02146 AMR PEL SAS 0.005544
HG02147 AMR PEL EAS 0.01707
HG02147 AMR PEL AMR 0.936443
HG02147 AMR PEL AFR 1e-05
HG02147 AMR PEL EUR 0.046468
HG02147 AMR PEL SAS 1e-05
HG02150 AMR PEL EAS 0.008354
HG02150 AMR PEL AMR 0.987774
HG02150 AMR PEL AFR 1e-05
HG02150 AMR PEL EUR 0.001153
HG02150 AMR PEL SAS 0.002709
HG02252 AMR PEL EAS 0.014775
HG02252 AMR PEL AMR 0.649408
HG02252 AMR PEL AFR 0.011947
HG02252 AMR PEL EUR 0.249353
HG02252 AMR PEL SAS 0.074517
HG02253 AMR PEL EAS 1e-05
HG02253 AMR PEL AMR 0.554326
HG02253 AMR PEL AFR 0.01228
HG02253 AMR PEL EUR 0.386256
HG02253 AMR PEL SAS 0.047128
HG02255 AFR ACB EAS 0.004402
HG02255 AFR ACB AMR 0.021263
HG02255 AFR ACB AFR 0.940959
HG02255 AFR ACB EUR 0.033367
HG02255 AFR ACB SAS 1e-05
HG02256 AFR ACB EAS 0.015506
HG02256 AFR ACB AMR 0.012008
HG02256 AFR ACB AFR 0.776836
HG02256 AFR ACB EUR 0.19564
HG02256 AFR ACB SAS 1e-05
HG02259 AMR PEL EAS 1e-05
HG02259 AMR PEL AMR 0.99996
HG02259 AMR PEL AFR 1e-05
HG02259 AMR PEL EUR 1e-05
HG02259 AMR PEL SAS 1e-05
HG02260 AMR PEL EAS 0.018195
HG02260 AMR PEL AMR 0.857741
HG02260 AMR PEL AFR 1e-05
HG02260 AMR PEL EUR 0.092294
HG02260 AMR PEL SAS 0.031759
HG02262 AMR PEL EAS 0.011169
HG02262 AMR PEL AMR 0.800953
HG02262 AMR PEL AFR 1e-05
